Date,Year,Month,Day,DayofWeek
2011-01-19,2011,1,19,Wednesday
2010-12-02,2010,12,2,Thursday
2011-01-30,2011,1,30,Sunday
2010-12-15,2010,12,15,Wednesday
2010-07-25,2010,7,25,Sunday
2010-09-16,2010,9,16,Thursday
2010-07-18,2010,7,18,Sunday
2010-09-12,2010,9,12,Sunday
2010-09-06,2010,9,6,Monday
2010-12-12,2010,12,12,Sunday
2011-02-18,2011,2,18,Friday
2010-08-01,2010,8,1,Sunday
2010-11-01,2010,11,1,Monday
2011-04-24,2011,4,24,Sunday
2010-11-11,2010,11,11,Thursday
2011-04-27,2011,4,27,Wednesday
2011-02-09,2011,2,9,Wednesday
2010-11-13,2010,11,13,Saturday
2011-02-05,2011,2,5,Saturday
2010-08-08,2010,8,8,Sunday
2011-02-12,2011,2,12,Saturday
2010-08-09,2010,8,9,Monday
2011-04-05,2011,4,5,Tuesday
2011-04-11,2011,4,11,Monday
2010-11-18,2010,11,18,Thursday
2010-08-30,2010,8,30,Monday
2010-11-26,2010,11,26,Friday
2011-04-07,2011,4,7,Thursday
2010-12-23,2010,12,23,Thursday
2011-03-06,2011,3,6,Sunday
2010-10-08,2010,10,8,Friday
2010-10-20,2010,10,20,Wednesday
2010-09-23,2010,9,23,Thursday
2011-05-16,2011,5,16,Monday
2010-10-23,2010,10,23,Saturday
2010-10-27,2010,10,27,Wednesday
2010-12-25,2010,12,25,Saturday
2010-09-26,2010,9,26,Sunday
2010-09-24,2010,9,24,Friday
2011-05-10,2011,5,10,Tuesday
2011-05-04,2011,5,4,Wednesday
2010-10-31,2010,10,31,Sunday
2010-10-25,2010,10,25,Monday
