Date,Year,Month,Day,DayofWeek
2009-10-24,2009,10,24,Saturday
2009-10-25,2009,10,25,Sunday
2009-11-02,2009,11,2,Monday
2009-11-03,2009,11,3,Tuesday
2009-11-06,2009,11,6,Friday
2009-11-20,2009,11,20,Friday
2009-11-23,2009,11,23,Monday
2009-11-30,2009,11,30,Monday
2009-12-07,2009,12,7,Monday
2009-12-11,2009,12,11,Friday
2009-12-13,2009,12,13,Sunday
2010-01-04,2010,1,4,Monday
2010-01-05,2010,1,5,Tuesday
2010-01-06,2010,1,6,Wednesday
2010-01-12,2010,1,12,Tuesday
2010-01-13,2010,1,13,Wednesday
2010-01-17,2010,1,17,Sunday
2010-01-31,2010,1,31,Sunday
2010-02-04,2010,2,4,Thursday
2010-02-05,2010,2,5,Friday
2010-02-21,2010,2,21,Sunday
2010-03-02,2010,3,2,Tuesday
2010-03-04,2010,3,4,Thursday
2010-03-07,2010,3,7,Sunday
2010-03-09,2010,3,9,Tuesday
2010-03-14,2010,3,14,Sunday
2010-03-15,2010,3,15,Monday
2010-03-22,2010,3,22,Monday
2010-04-06,2010,4,6,Tuesday
2010-04-19,2010,4,19,Monday
2010-04-22,2010,4,22,Thursday
2010-04-23,2010,4,23,Friday
2010-04-24,2010,4,24,Saturday
2010-04-25,2010,4,25,Sunday
2010-04-30,2010,4,30,Friday
2010-05-19,2010,5,19,Wednesday
2010-05-20,2010,5,20,Thursday
2010-05-26,2010,5,26,Wednesday
2010-05-28,2010,5,28,Friday
2010-06-12,2010,6,12,Saturday
2010-06-15,2010,6,15,Tuesday
2010-06-19,2010,6,19,Saturday
2010-06-22,2010,6,22,Tuesday
2010-06-26,2010,6,26,Saturday
2010-06-28,2010,6,28,Monday
2010-06-29,2010,6,29,Tuesday
2010-06-30,2010,6,30,Wednesday
2010-07-05,2010,7,5,Monday
2010-07-08,2010,7,8,Thursday
