sc-status sc-substatus
200 0
200 0
200 0
200 0
200 0
206 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
304 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
304 0
200 0
200 0
200 0
304 0
404 0
304 0
200 0
- 404
200 0
200 0
200 0
200 0
304 0
200 0
404 0
200 0
304 0
200 0
200 0
200 0
304 0
200 0
200 0
200 0
304 0
- 200
- 200
- 200
- 200
- 200
- 200
- 200
- 200
- 200
- 200
200 0
200 0
200 0
404 0
200 0
200 0
200 0
200 0
304 0
200 0
304 0
200 0
200 0
304 0
404 0
200 0
304 0
200 0
200 0
404 0
200 0
200 0
200 0
200 0
200 0
304 0
http://thedispersalofdarwin.wordpress.com/2009/11/ 200
404 0
200 0
200 0
304 0
200 0
200 0
200 0
200 0
304 0
200 0
200 0
200 0
http://www.google.com.ar/search?hl=es&biw=1023&bih=690&q=senecio+subulatus&aq=8&aqi=g10&aql=&oq=senecio+&gs_rfai= 200
http://www.darwinsbeagleplants.org/Darwin/Plant.aspx?p=25&ix=281&pid=0&prcid=0&ppid=0 404
http://www.darwinsbeagleplants.org/Darwin/Plant.aspx?p=25&ix=281&pid=0&prcid=0&ppid=0 200
http://www.darwinsbeagleplants.org/Darwin/Plant.aspx?p=25&ix=281&pid=0&prcid=0&ppid=0 200
http://www.darwinsbeagleplants.org/Darwin/Plant.aspx?p=25&ix=281&pid=0&prcid=0&ppid=0 200
http://www.darwinsbeagleplants.org/Darwin/Plant.aspx?p=25&ix=281&pid=0&prcid=0&ppid=0 200
http://www.darwinsbeagleplants.org/Darwin/Plant.aspx?p=25&ix=281&pid=0&prcid=0&ppid=0 200
http://www.darwinsbeagleplants.org/Darwin/Plant.aspx?p=25&ix=281&pid=0&prcid=0&ppid=0 200
http://www.darwinsbeagleplants.org/Darwin/Plant.aspx?p=25&ix=281&pid=0&prcid=0&ppid=0 200
http://www.darwinsbeagleplants.org/Darwin/Plant.aspx?p=25&ix=281&pid=0&prcid=0&ppid=0 200
http://www.darwinsbeagleplants.org/Darwin/Plant.aspx?p=25&ix=281&pid=0&prcid=0&ppid=0 200
http://www.darwinsbeagleplants.org/Darwin/Plant.aspx?p=25&ix=281&pid=0&prcid=0&ppid=0 200
http://www.darwinsbeagleplants.org/Darwin/Plant.aspx?p=25&ix=281&pid=0&prcid=0&ppid=0 200
http://www.darwinsbeagleplants.org/Darwin/Plant.aspx?p=25&ix=281&pid=0&prcid=0&ppid=0 200
- 404
200 0
200 0
404 0
304 0
- 404
200 0
200 0
200 0
200 0
304 0
200 0
200 0
304 0
404 0
200 0
404 0
200 0
200 0
304 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
304 0
200 0
200 0
200 0
200 0
- 200
- 200
- 200
- 200
- 200
- 200
- 200
- 200
- 200
- 200
200 0
200 0
404 0
304 0
200 0
200 0
200 0
200 0
200 0
304 0
200 0
200 0
200 0
404 0
200 0
200 0
200 0
200 0
200 0
200 0
404 0
200 0
304 0
200 0
200 0
200 0
200 0
http://www.darwinsbeagleplants.org/Darwin/Place.aspx?p=25&ix=11&pid=1&prcid=27&ppid=1500 404
http://www.google.com.ph/imgres?imgurl=http://www.darwinsbeagleplants.org/Darwin/ImageCache/cache_SHoYX5J_559.jpeg&imgrefurl=http://www.darwinsbeagleplants.org/Darwin/Place.aspx%3Fp%3D25%26ix%3D11%26pid%3D1%26prcid%3D27%26ppid%3D1500&usg=__wOLAnqhIHuyyfzyzRcjo0DEtEO0=&h=100&w=67&sz=6&hl=tl&start=37&um=1&itbs=1&tbnid=NT675eHYOcRXxM:&tbnh=82&tbnw=55&prev=/images%3Fq%3Dlycopodium%2Bcernuum%26start%3D20%26um%3D1%26hl%3Dtl%26sa%3DN%26ndsp%3D20%26tbs%3Disch:1 200
http://www.darwinsbeagleplants.org/Darwin/Place.aspx?p=25&ix=11&pid=1&prcid=27&ppid=1500 200
http://www.darwinsbeagleplants.org/Darwin/Place.aspx?p=25&ix=11&pid=1&prcid=27&ppid=1500 200
200 0
http://www.google.com.ph/imgres?imgurl=http://www.darwinsbeagleplants.org/Darwin/ImageCache/cache_SHoYX5J_559.jpeg&imgrefurl=http://www.darwinsbeagleplants.org/Darwin/Place.aspx%3Fp%3D25%26ix%3D11%26pid%3D1%26prcid%3D27%26ppid%3D1500&usg=__wOLAnqhIHuyyfzyzRcjo0DEtEO0=&h=100&w=67&sz=6&hl=tl&start=37&um=1&itbs=1&tbnid=NT675eHYOcRXxM:&tbnh=82&tbnw=55&prev=/images%3Fq%3Dlycopodium%2Bcernuum%26start%3D20%26um%3D1%26hl%3Dtl%26sa%3DN%26ndsp%3D20%26tbs%3Disch:1 200
- 404
404 0
200 0
200 0
404 0
304 0
200 0
200 0
200 0
304 0
404 0
200 0
200 0
404 0
200 0
404 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
304 0
200 0
200 0
200 0
304 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
- 404
304 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
404 0
304 0
304 0
200 0
200 0
200 0
304 0
200 0
200 0
200 0
404 0
404 0
404 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
304 0
200 0
200 0
304 0
404 0
200 0
200 0
200 0
200 0
200 0
- 200
- 200
- 200
- 200
- 200
404 0
200 0
- 200
- 200
- 200
- 200
- 200
200 0
200 0
304 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
404 0
404 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
404 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
404 0
200 0
304 0
404 11
200 0
200 0
200 0
200 0
404 0
304 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
200 0
404 0
304 0
200 0
200 0
200 0
200 0
404 0
304 0
200 0
200 0
200 0
200 0
200 0
200 0
304 0
200 0
200 0
404 0
304 0
200 0
200 0
404 0
304 0
200 0
200 0
200 0
404 0
200 0
304 0
200 0
200 0
200 0
404 0
304 0
200 0
200 0
200 0
200 0
404 0
200 0
304 0
200 0
200 0
200 0
404 0
304 0
200 0
200 0
200 0
200 0
200 0
404 0
304 0
200 0
200 0
200 0
404 0
304 0
200 0
200 0
404 0
304 0
200 0
200 0
200 0
404 0
200 0
304 0
200 0
200 0
404 0
304 0
200 0
200 0
200 0
200 0
200 0
200 0
404 0
304 0
200 0
200 0
404 0
304 0
200 0
200 0
200 0
200 0
200 0
404 0
304 0
200 0
404 0
304 0
404 11
200 0
200 0
200 0
